"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"217","Gene80","H3-3",0,"control1_leaves",80,"Low Expression",115
"218","Gene100","H3-3",0,"control1_leaves",100,"Low Expression",115
"219","Downstream","H3-3",0,"control1_leaves",120,"Low Expression",115
"220","DownstreamIntergenic","H3-3",0,"control1_leaves",140,"Low Expression",115
"221","UpstreamIntergenic","H3K9me2",0,"control1_leaves",-60,"Low Expression",115
"222","Promotor1000","H3K9me2",0,"control1_leaves",-40,"Low Expression",115
"223","Promotor500","H3K9me2",0,"control1_leaves",-20,"Low Expression",115
"224","Gene20","H3K9me2",0,"control1_leaves",20,"Low Expression",115
"225","Gene40","H3K9me2",0,"control1_leaves",40,"Low Expression",115
"226","Gene60","H3K9me2",0,"control1_leaves",60,"Low Expression",115
"227","Gene80","H3K9me2",0,"control1_leaves",80,"Low Expression",115
"228","Gene100","H3K9me2",0,"control1_leaves",100,"Low Expression",115
"229","Downstream","H3K9me2",0,"control1_leaves",120,"Low Expression",115
"230","DownstreamIntergenic","H3K9me2",0,"control1_leaves",140,"Low Expression",115
"231","UpstreamIntergenic","H3K27me3",0.0419485253711684,"control1_leaves",-60,"Low Expression",115
"232","Promotor1000","H3K27me3",0.0428695652173913,"control1_leaves",-40,"Low Expression",115
"233","Promotor500","H3K27me3",0.054504347826087,"control1_leaves",-20,"Low Expression",115
"234","Gene20","H3K27me3",0.0800175793879665,"control1_leaves",20,"Low Expression",115
"235","Gene40","H3K27me3",0.0781410672390377,"control1_leaves",40,"Low Expression",115
"236","Gene60","H3K27me3",0.0699028268860362,"control1_leaves",60,"Low Expression",115
"237","Gene80","H3K27me3",0.0634669678147939,"control1_leaves",80,"Low Expression",115
"238","Gene100","H3K27me3",0.0594060725180948,"control1_leaves",100,"Low Expression",115
"239","Downstream","H3K27me3",0.0441739130434783,"control1_leaves",120,"Low Expression",115
"240","DownstreamIntergenic","H3K27me3",0.0261295793095933,"control1_leaves",140,"Low Expression",115
"241","UpstreamIntergenic","H2A-Z",0.0304828481521537,"control1_leaves",-60,"Low Expression",115
"242","Promotor1000","H2A-Z",0.104834782608696,"control1_leaves",-40,"Low Expression",115
"243","Promotor500","H2A-Z",0.196573913043478,"control1_leaves",-20,"Low Expression",115
"244","Gene20","H2A-Z",0.574971063071706,"control1_leaves",20,"Low Expression",115
"245","Gene40","H2A-Z",0.410147205607802,"control1_leaves",40,"Low Expression",115
"246","Gene60","H2A-Z",0.308149062021697,"control1_leaves",60,"Low Expression",115
"247","Gene80","H2A-Z",0.230719503390434,"control1_leaves",80,"Low Expression",115
"248","Gene100","H2A-Z",0.165604701226975,"control1_leaves",100,"Low Expression",115
"249","Downstream","H2A-Z",0.11095652173913,"control1_leaves",120,"Low Expression",115
"250","DownstreamIntergenic","H2A-Z",0.0405365791069974,"control1_leaves",140,"Low Expression",115
"251","UpstreamIntergenic","H2AK121ub",0,"control1_leaves",-60,"Low Expression",115
"252","Promotor1000","H2AK121ub",0,"control1_leaves",-40,"Low Expression",115
"253","Promotor500","H2AK121ub",0,"control1_leaves",-20,"Low Expression",115
"254","Gene20","H2AK121ub",0,"control1_leaves",20,"Low Expression",115
"255","Gene40","H2AK121ub",0,"control1_leaves",40,"Low Expression",115
"256","Gene60","H2AK121ub",0,"control1_leaves",60,"Low Expression",115
"257","Gene80","H2AK121ub",0,"control1_leaves",80,"Low Expression",115
"258","Gene100","H2AK121ub",0,"control1_leaves",100,"Low Expression",115
"259","Downstream","H2AK121ub",0,"control1_leaves",120,"Low Expression",115
"260","DownstreamIntergenic","H2AK121ub",0,"control1_leaves",140,"Low Expression",115
"261","UpstreamIntergenic","H3ac",0,"control1_leaves",-60,"Low Expression",115
"262","Promotor1000","H3ac",0,"control1_leaves",-40,"Low Expression",115
"263","Promotor500","H3ac",0,"control1_leaves",-20,"Low Expression",115
"264","Gene20","H3ac",0,"control1_leaves",20,"Low Expression",115
"265","Gene40","H3ac",0,"control1_leaves",40,"Low Expression",115
"266","Gene60","H3ac",0,"control1_leaves",60,"Low Expression",115
"267","Gene80","H3ac",0,"control1_leaves",80,"Low Expression",115
"268","Gene100","H3ac",0,"control1_leaves",100,"Low Expression",115
"269","Downstream","H3ac",0,"control1_leaves",120,"Low Expression",115
"270","DownstreamIntergenic","H3ac",0,"control1_leaves",140,"Low Expression",115
"271","UpstreamIntergenic","H3K4me3",0.000161953407250529,"control1_leaves",-60,"Low Expression",115
"272","Promotor1000","H3K4me3",0.0689652173913043,"control1_leaves",-40,"Low Expression",115
"273","Promotor500","H3K4me3",0.178469565217391,"control1_leaves",-20,"Low Expression",115
"274","Gene20","H3K4me3",0.735597019617678,"control1_leaves",20,"Low Expression",115
"275","Gene40","H3K4me3",0.520683184943781,"control1_leaves",40,"Low Expression",115
"276","Gene60","H3K4me3",0.300493433122628,"control1_leaves",60,"Low Expression",115
"277","Gene80","H3K4me3",0.191133614995289,"control1_leaves",80,"Low Expression",115
"278","Gene100","H3K4me3",0.0678180869616139,"control1_leaves",100,"Low Expression",115
"279","Downstream","H3K4me3",0.0350869565217391,"control1_leaves",120,"Low Expression",115
"280","DownstreamIntergenic","H3K4me3",0.00278242289111854,"control1_leaves",140,"Low Expression",115
"281","UpstreamIntergenic","H3K36me3",0,"control1_leaves",-60,"Low Expression",115
"282","Promotor1000","H3K36me3",0.0566521739130435,"control1_leaves",-40,"Low Expression",115
"283","Promotor500","H3K36me3",0.0866260869565217,"control1_leaves",-20,"Low Expression",115
"284","Gene20","H3K36me3",0.558602979098448,"control1_leaves",20,"Low Expression",115
"285","Gene40","H3K36me3",0.718224431764251,"control1_leaves",40,"Low Expression",115
"286","Gene60","H3K36me3",0.577764580379886,"control1_leaves",60,"Low Expression",115
"287","Gene80","H3K36me3",0.246187514198308,"control1_leaves",80,"Low Expression",115
"288","Gene100","H3K36me3",0.0495851919430945,"control1_leaves",100,"Low Expression",115
"289","Downstream","H3K36me3",0.0267391304347826,"control1_leaves",120,"Low Expression",115
"290","DownstreamIntergenic","H3K36me3",0.00732873055520276,"control1_leaves",140,"Low Expression",115
"291","UpstreamIntergenic","H3K27ac",0,"control1_leaves",-60,"Low Expression",115
"292","Promotor1000","H3K27ac",0,"control1_leaves",-40,"Low Expression",115
"293","Promotor500","H3K27ac",0,"control1_leaves",-20,"Low Expression",115
"294","Gene20","H3K27ac",0,"control1_leaves",20,"Low Expression",115
"295","Gene40","H3K27ac",0,"control1_leaves",40,"Low Expression",115
"296","Gene60","H3K27ac",0,"control1_leaves",60,"Low Expression",115
"297","Gene80","H3K27ac",0,"control1_leaves",80,"Low Expression",115
"298","Gene100","H3K27ac",0,"control1_leaves",100,"Low Expression",115
"299","Downstream","H3K27ac",0,"control1_leaves",120,"Low Expression",115
"300","DownstreamIntergenic","H3K27ac",0,"control1_leaves",140,"Low Expression",115
"301","UpstreamIntergenic","H4K5ac",0,"control1_leaves",-60,"Low Expression",115
"302","Promotor1000","H4K5ac",0,"control1_leaves",-40,"Low Expression",115
"303","Promotor500","H4K5ac",0,"control1_leaves",-20,"Low Expression",115
"304","Gene20","H4K5ac",0,"control1_leaves",20,"Low Expression",115
"305","Gene40","H4K5ac",0,"control1_leaves",40,"Low Expression",115
"306","Gene60","H4K5ac",0,"control1_leaves",60,"Low Expression",115
"307","Gene80","H4K5ac",0,"control1_leaves",80,"Low Expression",115
"308","Gene100","H4K5ac",0,"control1_leaves",100,"Low Expression",115
"309","Downstream","H4K5ac",0,"control1_leaves",120,"Low Expression",115
"310","DownstreamIntergenic","H4K5ac",0,"control1_leaves",140,"Low Expression",115
"311","UpstreamIntergenic","H4K8ac",0,"control1_leaves",-60,"Low Expression",115
"312","Promotor1000","H4K8ac",0,"control1_leaves",-40,"Low Expression",115
"313","Promotor500","H4K8ac",0,"control1_leaves",-20,"Low Expression",115
"314","Gene20","H4K8ac",0,"control1_leaves",20,"Low Expression",115
"315","Gene40","H4K8ac",0,"control1_leaves",40,"Low Expression",115
"316","Gene60","H4K8ac",0,"control1_leaves",60,"Low Expression",115
"317","Gene80","H4K8ac",0,"control1_leaves",80,"Low Expression",115
"318","Gene100","H4K8ac",0,"control1_leaves",100,"Low Expression",115
"319","Downstream","H4K8ac",0,"control1_leaves",120,"Low Expression",115
"320","DownstreamIntergenic","H4K8ac",0,"control1_leaves",140,"Low Expression",115
"321","UpstreamIntergenic","H3-1",0,"control1_leaves",-60,"Low Expression",115
"322","Promotor1000","H3-1",0,"control1_leaves",-40,"Low Expression",115
"323","Promotor500","H3-1",0,"control1_leaves",-20,"Low Expression",115
"324","Gene20","H3-1",0,"control1_leaves",20,"Low Expression",115
"325","Gene40","H3-1",0,"control1_leaves",40,"Low Expression",115
"326","Gene60","H3-1",0,"control1_leaves",60,"Low Expression",115
"327","Gene80","H3-1",0,"control1_leaves",80,"Low Expression",115
"328","Gene100","H3-1",0,"control1_leaves",100,"Low Expression",115
"329","Downstream","H3-1",0,"control1_leaves",120,"Low Expression",115
"330","DownstreamIntergenic","H3-1",0,"control1_leaves",140,"Low Expression",115
"331","UpstreamIntergenic","H3K9ac",0.00233879600423842,"control1_leaves",-60,"Low Expression",115
"332","Promotor1000","H3K9ac",0.0641739130434783,"control1_leaves",-40,"Low Expression",115
"333","Promotor500","H3K9ac",0.179721739130435,"control1_leaves",-20,"Low Expression",115
"334","Gene20","H3K9ac",0.62315833373482,"control1_leaves",20,"Low Expression",115
