"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"307","Gene80","H4K5ac",0,"control1_root",80,"Low Expression",118
"308","Gene100","H4K5ac",0,"control1_root",100,"Low Expression",118
"309","Downstream","H4K5ac",0,"control1_root",120,"Low Expression",118
"310","DownstreamIntergenic","H4K5ac",0,"control1_root",140,"Low Expression",118
"311","UpstreamIntergenic","H4K8ac",0,"control1_root",-60,"Low Expression",118
"312","Promotor1000","H4K8ac",0,"control1_root",-40,"Low Expression",118
"313","Promotor500","H4K8ac",0,"control1_root",-20,"Low Expression",118
"314","Gene20","H4K8ac",0,"control1_root",20,"Low Expression",118
"315","Gene40","H4K8ac",0,"control1_root",40,"Low Expression",118
"316","Gene60","H4K8ac",0,"control1_root",60,"Low Expression",118
"317","Gene80","H4K8ac",0,"control1_root",80,"Low Expression",118
"318","Gene100","H4K8ac",0,"control1_root",100,"Low Expression",118
"319","Downstream","H4K8ac",0,"control1_root",120,"Low Expression",118
"320","DownstreamIntergenic","H4K8ac",0,"control1_root",140,"Low Expression",118
"321","UpstreamIntergenic","H3-1",0,"control1_root",-60,"Low Expression",118
"322","Promotor1000","H3-1",0,"control1_root",-40,"Low Expression",118
"323","Promotor500","H3-1",0,"control1_root",-20,"Low Expression",118
"324","Gene20","H3-1",0,"control1_root",20,"Low Expression",118
"325","Gene40","H3-1",0,"control1_root",40,"Low Expression",118
"326","Gene60","H3-1",0,"control1_root",60,"Low Expression",118
"327","Gene80","H3-1",0,"control1_root",80,"Low Expression",118
"328","Gene100","H3-1",0,"control1_root",100,"Low Expression",118
"329","Downstream","H3-1",0,"control1_root",120,"Low Expression",118
"330","DownstreamIntergenic","H3-1",0,"control1_root",140,"Low Expression",118
"331","UpstreamIntergenic","H3K9ac",0,"control1_root",-60,"Low Expression",118
"332","Promotor1000","H3K9ac",0,"control1_root",-40,"Low Expression",118
"333","Promotor500","H3K9ac",0,"control1_root",-20,"Low Expression",118
"334","Gene20","H3K9ac",0,"control1_root",20,"Low Expression",118
"335","Gene40","H3K9ac",0,"control1_root",40,"Low Expression",118
"336","Gene60","H3K9ac",0,"control1_root",60,"Low Expression",118
"337","Gene80","H3K9ac",0,"control1_root",80,"Low Expression",118
"338","Gene100","H3K9ac",0,"control1_root",100,"Low Expression",118
"339","Downstream","H3K9ac",0,"control1_root",120,"Low Expression",118
"340","DownstreamIntergenic","H3K9ac",0,"control1_root",140,"Low Expression",118
"341","UpstreamIntergenic","H4K12ac",0,"control1_root",-60,"Low Expression",118
"342","Promotor1000","H4K12ac",0,"control1_root",-40,"Low Expression",118
"343","Promotor500","H4K12ac",0,"control1_root",-20,"Low Expression",118
"344","Gene20","H4K12ac",0,"control1_root",20,"Low Expression",118
"345","Gene40","H4K12ac",0,"control1_root",40,"Low Expression",118
"346","Gene60","H4K12ac",0,"control1_root",60,"Low Expression",118
"347","Gene80","H4K12ac",0,"control1_root",80,"Low Expression",118
"348","Gene100","H4K12ac",0,"control1_root",100,"Low Expression",118
"349","Downstream","H4K12ac",0,"control1_root",120,"Low Expression",118
