"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"239","Downstream","H3K27me3",0.0834920634920635,"control1_seedlings",120,"Low Expression",126
"240","DownstreamIntergenic","H3K27me3",0.0478394762486845,"control1_seedlings",140,"Low Expression",126
"241","UpstreamIntergenic","H2A-Z",0.102061809972312,"control1_seedlings",-60,"Low Expression",126
"242","Promotor1000","H2A-Z",0.419777777777778,"control1_seedlings",-40,"Low Expression",126
"243","Promotor500","H2A-Z",0.45847619047619,"control1_seedlings",-20,"Low Expression",126
"244","Gene20","H2A-Z",0.851183715514017,"control1_seedlings",20,"Low Expression",126
"245","Gene40","H2A-Z",0.665447284091952,"control1_seedlings",40,"Low Expression",126
"246","Gene60","H2A-Z",0.512443290986317,"control1_seedlings",60,"Low Expression",126
"247","Gene80","H2A-Z",0.481075153884354,"control1_seedlings",80,"Low Expression",126
"248","Gene100","H2A-Z",0.381208944417572,"control1_seedlings",100,"Low Expression",126
"249","Downstream","H2A-Z",0.276865079365079,"control1_seedlings",120,"Low Expression",126
"250","DownstreamIntergenic","H2A-Z",0.102306920099855,"control1_seedlings",140,"Low Expression",126
"251","UpstreamIntergenic","H2AK121ub",0.0581649725367628,"control1_seedlings",-60,"Low Expression",126
"252","Promotor1000","H2AK121ub",0.219896825396825,"control1_seedlings",-40,"Low Expression",126
"253","Promotor500","H2AK121ub",0.206174603174603,"control1_seedlings",-20,"Low Expression",126
"254","Gene20","H2AK121ub",0.427107292063253,"control1_seedlings",20,"Low Expression",126
"255","Gene40","H2AK121ub",0.31377075881386,"control1_seedlings",40,"Low Expression",126
"256","Gene60","H2AK121ub",0.254334143102746,"control1_seedlings",60,"Low Expression",126
"257","Gene80","H2AK121ub",0.230924579909173,"control1_seedlings",80,"Low Expression",126
"258","Gene100","H2AK121ub",0.171527629524051,"control1_seedlings",100,"Low Expression",126
"259","Downstream","H2AK121ub",0.101706349206349,"control1_seedlings",120,"Low Expression",126
"260","DownstreamIntergenic","H2AK121ub",0.0453926936294213,"control1_seedlings",140,"Low Expression",126
"261","UpstreamIntergenic","H3ac",0,"control1_seedlings",-60,"Low Expression",126
"262","Promotor1000","H3ac",0,"control1_seedlings",-40,"Low Expression",126
"263","Promotor500","H3ac",0,"control1_seedlings",-20,"Low Expression",126
"264","Gene20","H3ac",0,"control1_seedlings",20,"Low Expression",126
"265","Gene40","H3ac",0,"control1_seedlings",40,"Low Expression",126
"266","Gene60","H3ac",0,"control1_seedlings",60,"Low Expression",126
"267","Gene80","H3ac",0,"control1_seedlings",80,"Low Expression",126
"268","Gene100","H3ac",0,"control1_seedlings",100,"Low Expression",126
"269","Downstream","H3ac",0,"control1_seedlings",120,"Low Expression",126
"270","DownstreamIntergenic","H3ac",0,"control1_seedlings",140,"Low Expression",126
"271","UpstreamIntergenic","H3K4me3",0.0116701811430682,"control1_seedlings",-60,"Low Expression",126
"272","Promotor1000","H3K4me3",0.260595238095238,"control1_seedlings",-40,"Low Expression",126
"273","Promotor500","H3K4me3",0.260190476190476,"control1_seedlings",-20,"Low Expression",126
"274","Gene20","H3K4me3",0.793527077207681,"control1_seedlings",20,"Low Expression",126
"275","Gene40","H3K4me3",0.793638949506988,"control1_seedlings",40,"Low Expression",126
"276","Gene60","H3K4me3",0.658021669262801,"control1_seedlings",60,"Low Expression",126
"277","Gene80","H3K4me3",0.439120374735504,"control1_seedlings",80,"Low Expression",126
"278","Gene100","H3K4me3",0.151335045237389,"control1_seedlings",100,"Low Expression",126
"279","Downstream","H3K4me3",0.0725396825396825,"control1_seedlings",120,"Low Expression",126
