"","Region","Modification","Frequency","n","axisGroup","Expression","SampleGenes"
"187","Downstream","H3",2.08333333333333,2,120,"No Expression","clusteredNLRs_Leaf"
"188","Downstream","H2A-X",3.125,3,120,"No Expression","clusteredNLRs_Leaf"
"189","Downstream","H3K18ac",3.125,3,120,"No Expression","clusteredNLRs_Leaf"
"190","DownstreamIntergenic","H3-3",23.9583333333333,23,140,"No Expression","clusteredNLRs_Leaf"
"191","DownstreamIntergenic","H3K9me2",2.08333333333333,2,140,"No Expression","clusteredNLRs_Leaf"
"192","DownstreamIntergenic","H3K27me3",15.625,15,140,"No Expression","clusteredNLRs_Leaf"
"193","DownstreamIntergenic","H2A-Z",35.4166666666667,34,140,"No Expression","clusteredNLRs_Leaf"
"194","DownstreamIntergenic","H2AK121ub",8.33333333333333,8,140,"No Expression","clusteredNLRs_Leaf"
"195","DownstreamIntergenic","H3ac",0,0,140,"No Expression","clusteredNLRs_Leaf"
"196","DownstreamIntergenic","H3K4me3",9.375,9,140,"No Expression","clusteredNLRs_Leaf"
"197","DownstreamIntergenic","H3K36me3",5.20833333333333,5,140,"No Expression","clusteredNLRs_Leaf"
"198","DownstreamIntergenic","H3K27ac",1.04166666666667,1,140,"No Expression","clusteredNLRs_Leaf"
"199","DownstreamIntergenic","H4K5ac",5.20833333333333,5,140,"No Expression","clusteredNLRs_Leaf"
"200","DownstreamIntergenic","H4K8ac",3.125,3,140,"No Expression","clusteredNLRs_Leaf"
"201","DownstreamIntergenic","H3-1",9.375,9,140,"No Expression","clusteredNLRs_Leaf"
"202","DownstreamIntergenic","H3K9ac",7.29166666666667,7,140,"No Expression","clusteredNLRs_Leaf"
"203","DownstreamIntergenic","H4K12ac",3.125,3,140,"No Expression","clusteredNLRs_Leaf"
"204","DownstreamIntergenic","H3K27me1",10.4166666666667,10,140,"No Expression","clusteredNLRs_Leaf"
"205","DownstreamIntergenic","H4K16ac",2.08333333333333,2,140,"No Expression","clusteredNLRs_Leaf"
"206","DownstreamIntergenic","H3K14ac",5.20833333333333,5,140,"No Expression","clusteredNLRs_Leaf"
"207","DownstreamIntergenic","H2A",7.29166666666667,7,140,"No Expression","clusteredNLRs_Leaf"
"208","DownstreamIntergenic","H3",1.04166666666667,1,140,"No Expression","clusteredNLRs_Leaf"
"209","DownstreamIntergenic","H2A-X",3.125,3,140,"No Expression","clusteredNLRs_Leaf"
"210","DownstreamIntergenic","H3K18ac",1.04166666666667,1,140,"No Expression","clusteredNLRs_Leaf"
"211","UpstreamIntergenic","H3-3",22.2222222222222,4,-60,"Low Expression","clusteredNLRs_Leaf"
"212","UpstreamIntergenic","H3K9me2",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"213","UpstreamIntergenic","H3K27me3",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"214","UpstreamIntergenic","H2A-Z",22.2222222222222,4,-60,"Low Expression","clusteredNLRs_Leaf"
"215","UpstreamIntergenic","H2AK121ub",5.55555555555556,1,-60,"Low Expression","clusteredNLRs_Leaf"
"216","UpstreamIntergenic","H3ac",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"217","UpstreamIntergenic","H3K4me3",16.6666666666667,3,-60,"Low Expression","clusteredNLRs_Leaf"
"218","UpstreamIntergenic","H3K36me3",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"219","UpstreamIntergenic","H3K27ac",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"220","UpstreamIntergenic","H4K5ac",11.1111111111111,2,-60,"Low Expression","clusteredNLRs_Leaf"
"221","UpstreamIntergenic","H4K8ac",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"222","UpstreamIntergenic","H3-1",5.55555555555556,1,-60,"Low Expression","clusteredNLRs_Leaf"
"223","UpstreamIntergenic","H3K9ac",27.7777777777778,5,-60,"Low Expression","clusteredNLRs_Leaf"
"224","UpstreamIntergenic","H4K12ac",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"225","UpstreamIntergenic","H3K27me1",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"226","UpstreamIntergenic","H4K16ac",5.55555555555556,1,-60,"Low Expression","clusteredNLRs_Leaf"
"227","UpstreamIntergenic","H3K14ac",11.1111111111111,2,-60,"Low Expression","clusteredNLRs_Leaf"
"228","UpstreamIntergenic","H2A",5.55555555555556,1,-60,"Low Expression","clusteredNLRs_Leaf"
"229","UpstreamIntergenic","H3",5.55555555555556,1,-60,"Low Expression","clusteredNLRs_Leaf"
"230","UpstreamIntergenic","H2A-X",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"231","UpstreamIntergenic","H3K18ac",0,0,-60,"Low Expression","clusteredNLRs_Leaf"
"232","Promotor1000","H3-3",27.7777777777778,5,-40,"Low Expression","clusteredNLRs_Leaf"
"233","Promotor1000","H3K9me2",0,0,-40,"Low Expression","clusteredNLRs_Leaf"
"234","Promotor1000","H3K27me3",5.55555555555556,1,-40,"Low Expression","clusteredNLRs_Leaf"
"235","Promotor1000","H2A-Z",61.1111111111111,11,-40,"Low Expression","clusteredNLRs_Leaf"
"236","Promotor1000","H2AK121ub",27.7777777777778,5,-40,"Low Expression","clusteredNLRs_Leaf"
"237","Promotor1000","H3ac",0,0,-40,"Low Expression","clusteredNLRs_Leaf"
"238","Promotor1000","H3K4me3",27.7777777777778,5,-40,"Low Expression","clusteredNLRs_Leaf"
"239","Promotor1000","H3K36me3",11.1111111111111,2,-40,"Low Expression","clusteredNLRs_Leaf"
"240","Promotor1000","H3K27ac",16.6666666666667,3,-40,"Low Expression","clusteredNLRs_Leaf"
"241","Promotor1000","H4K5ac",11.1111111111111,2,-40,"Low Expression","clusteredNLRs_Leaf"
"242","Promotor1000","H4K8ac",16.6666666666667,3,-40,"Low Expression","clusteredNLRs_Leaf"
"243","Promotor1000","H3-1",5.55555555555556,1,-40,"Low Expression","clusteredNLRs_Leaf"
"244","Promotor1000","H3K9ac",61.1111111111111,11,-40,"Low Expression","clusteredNLRs_Leaf"
"245","Promotor1000","H4K12ac",16.6666666666667,3,-40,"Low Expression","clusteredNLRs_Leaf"
"246","Promotor1000","H3K27me1",0,0,-40,"Low Expression","clusteredNLRs_Leaf"
"247","Promotor1000","H4K16ac",27.7777777777778,5,-40,"Low Expression","clusteredNLRs_Leaf"
"248","Promotor1000","H3K14ac",27.7777777777778,5,-40,"Low Expression","clusteredNLRs_Leaf"
"249","Promotor1000","H2A",16.6666666666667,3,-40,"Low Expression","clusteredNLRs_Leaf"
"250","Promotor1000","H3",16.6666666666667,3,-40,"Low Expression","clusteredNLRs_Leaf"
"251","Promotor1000","H2A-X",0,0,-40,"Low Expression","clusteredNLRs_Leaf"
"252","Promotor1000","H3K18ac",0,0,-40,"Low Expression","clusteredNLRs_Leaf"
"253","Promotor500","H3-3",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"254","Promotor500","H3K9me2",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"255","Promotor500","H3K27me3",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"256","Promotor500","H2A-Z",50,9,-20,"Low Expression","clusteredNLRs_Leaf"
"257","Promotor500","H2AK121ub",27.7777777777778,5,-20,"Low Expression","clusteredNLRs_Leaf"
"258","Promotor500","H3ac",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"259","Promotor500","H3K4me3",44.4444444444444,8,-20,"Low Expression","clusteredNLRs_Leaf"
"260","Promotor500","H3K36me3",11.1111111111111,2,-20,"Low Expression","clusteredNLRs_Leaf"
"261","Promotor500","H3K27ac",22.2222222222222,4,-20,"Low Expression","clusteredNLRs_Leaf"
"262","Promotor500","H4K5ac",16.6666666666667,3,-20,"Low Expression","clusteredNLRs_Leaf"
"263","Promotor500","H4K8ac",11.1111111111111,2,-20,"Low Expression","clusteredNLRs_Leaf"
"264","Promotor500","H3-1",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"265","Promotor500","H3K9ac",55.5555555555556,10,-20,"Low Expression","clusteredNLRs_Leaf"
"266","Promotor500","H4K12ac",11.1111111111111,2,-20,"Low Expression","clusteredNLRs_Leaf"
"267","Promotor500","H3K27me1",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"268","Promotor500","H4K16ac",11.1111111111111,2,-20,"Low Expression","clusteredNLRs_Leaf"
"269","Promotor500","H3K14ac",16.6666666666667,3,-20,"Low Expression","clusteredNLRs_Leaf"
"270","Promotor500","H2A",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"271","Promotor500","H3",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"272","Promotor500","H2A-X",0,0,-20,"Low Expression","clusteredNLRs_Leaf"
"273","Promotor500","H3K18ac",5.55555555555556,1,-20,"Low Expression","clusteredNLRs_Leaf"
"274","Gene20","H3-3",33.3333333333333,6,20,"Low Expression","clusteredNLRs_Leaf"
"275","Gene20","H3K9me2",5.55555555555556,1,20,"Low Expression","clusteredNLRs_Leaf"
"276","Gene20","H3K27me3",22.2222222222222,4,20,"Low Expression","clusteredNLRs_Leaf"
"277","Gene20","H2A-Z",61.1111111111111,11,20,"Low Expression","clusteredNLRs_Leaf"
"278","Gene20","H2AK121ub",55.5555555555556,10,20,"Low Expression","clusteredNLRs_Leaf"
"279","Gene20","H3ac",0,0,20,"Low Expression","clusteredNLRs_Leaf"
"280","Gene20","H3K4me3",72.2222222222222,13,20,"Low Expression","clusteredNLRs_Leaf"
"281","Gene20","H3K36me3",55.5555555555556,10,20,"Low Expression","clusteredNLRs_Leaf"
"282","Gene20","H3K27ac",55.5555555555556,10,20,"Low Expression","clusteredNLRs_Leaf"
"283","Gene20","H4K5ac",61.1111111111111,11,20,"Low Expression","clusteredNLRs_Leaf"
"284","Gene20","H4K8ac",55.5555555555556,10,20,"Low Expression","clusteredNLRs_Leaf"
"285","Gene20","H3-1",22.2222222222222,4,20,"Low Expression","clusteredNLRs_Leaf"
"286","Gene20","H3K9ac",72.2222222222222,13,20,"Low Expression","clusteredNLRs_Leaf"
