"","Region","Modification","Proportion","axisGroup","Expression","SampleGenes"
"224","Promotor1000","H2A-Z",0,-40,"Intermediate Expression","control6_Seedling"
"225","Promotor1000","H2A-Z",0,-40,"Intermediate Expression","control6_Seedling"
"226","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"227","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"228","Promotor1000","H2AK121ub",0.071,-40,"Intermediate Expression","control6_Seedling"
"229","Promotor1000","H2AK121ub",0.5,-40,"Intermediate Expression","control6_Seedling"
"230","Promotor1000","H2AK121ub",0.204,-40,"Intermediate Expression","control6_Seedling"
"231","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"232","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"233","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"234","Promotor1000","H2AK121ub",0,-40,"Intermediate Expression","control6_Seedling"
"235","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"236","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"237","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"238","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"239","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"240","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"241","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"242","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"243","Promotor1000","H3ac",0,-40,"Intermediate Expression","control6_Seedling"
"244","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"245","Promotor1000","H3K4me3",0.012,-40,"Intermediate Expression","control6_Seedling"
"246","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"247","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"248","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"249","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"250","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"251","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"252","Promotor1000","H3K4me3",0,-40,"Intermediate Expression","control6_Seedling"
"253","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"254","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"255","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"256","Promotor1000","H3K36me3",0.073,-40,"Intermediate Expression","control6_Seedling"
"257","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"258","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"259","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"260","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"261","Promotor1000","H3K36me3",0,-40,"Intermediate Expression","control6_Seedling"
"262","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"263","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"264","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"265","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"266","Promotor1000","H3K27ac",0.055,-40,"Intermediate Expression","control6_Seedling"
"267","Promotor1000","H3K27ac",0.102,-40,"Intermediate Expression","control6_Seedling"
"268","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"269","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"270","Promotor1000","H3K27ac",0,-40,"Intermediate Expression","control6_Seedling"
"271","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"272","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"273","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"274","Promotor1000","H4K5ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"275","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"276","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"277","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"278","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"279","Promotor1000","H4K5ac",0,-40,"Intermediate Expression","control6_Seedling"
"280","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"281","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"282","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"283","Promotor1000","H4K8ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"284","Promotor1000","H4K8ac",0.053,-40,"Intermediate Expression","control6_Seedling"
"285","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"286","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"287","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"288","Promotor1000","H4K8ac",0,-40,"Intermediate Expression","control6_Seedling"
"289","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"290","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"291","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"292","Promotor1000","H3-1",0.192,-40,"Intermediate Expression","control6_Seedling"
"293","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"294","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"295","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"296","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"297","Promotor1000","H3-1",0,-40,"Intermediate Expression","control6_Seedling"
"298","Promotor1000","H3K9ac",0.323,-40,"Intermediate Expression","control6_Seedling"
"299","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"300","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"301","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"302","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"303","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"304","Promotor1000","H3K9ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"305","Promotor1000","H3K9ac",0,-40,"Intermediate Expression","control6_Seedling"
"306","Promotor1000","H3K9ac",0,-40,"Intermediate Expression","control6_Seedling"
"307","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"308","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"309","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"310","Promotor1000","H4K12ac",0.5,-40,"Intermediate Expression","control6_Seedling"
"311","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"312","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"313","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"314","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"315","Promotor1000","H4K12ac",0,-40,"Intermediate Expression","control6_Seedling"
"316","Promotor1000","H3K27me1",0,-40,"Intermediate Expression","control6_Seedling"
"317","Promotor1000","H3K27me1",0,-40,"Intermediate Expression","control6_Seedling"
"318","Promotor1000","H3K27me1",0,-40,"Intermediate Expression","control6_Seedling"
"319","Promotor1000","H3K27me1",0.204,-40,"Intermediate Expression","control6_Seedling"
"320","Promotor1000","H3K27me1",0,-40,"Intermediate Expression","control6_Seedling"
