"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"207","Gene80","H3K18ac",0,"control1_leaves",80,"No Expression",61
"208","Gene100","H3K18ac",0,"control1_leaves",100,"No Expression",61
"209","Downstream","H3K18ac",0,"control1_leaves",120,"No Expression",61
"210","DownstreamIntergenic","H3K18ac",0,"control1_leaves",140,"No Expression",61
"211","UpstreamIntergenic","H3-3",0,"control1_leaves",-60,"Low Expression",109
"212","Promotor1000","H3-3",0,"control1_leaves",-40,"Low Expression",109
"213","Promotor500","H3-3",0,"control1_leaves",-20,"Low Expression",109
"214","Gene20","H3-3",0,"control1_leaves",20,"Low Expression",109
"215","Gene40","H3-3",0,"control1_leaves",40,"Low Expression",109
"216","Gene60","H3-3",0,"control1_leaves",60,"Low Expression",109
"217","Gene80","H3-3",0,"control1_leaves",80,"Low Expression",109
"218","Gene100","H3-3",0,"control1_leaves",100,"Low Expression",109
"219","Downstream","H3-3",0,"control1_leaves",120,"Low Expression",109
"220","DownstreamIntergenic","H3-3",0,"control1_leaves",140,"Low Expression",109
"221","UpstreamIntergenic","H3K9me2",0,"control1_leaves",-60,"Low Expression",109
"222","Promotor1000","H3K9me2",0,"control1_leaves",-40,"Low Expression",109
"223","Promotor500","H3K9me2",0,"control1_leaves",-20,"Low Expression",109
"224","Gene20","H3K9me2",0,"control1_leaves",20,"Low Expression",109
"225","Gene40","H3K9me2",0,"control1_leaves",40,"Low Expression",109
"226","Gene60","H3K9me2",0,"control1_leaves",60,"Low Expression",109
"227","Gene80","H3K9me2",0,"control1_leaves",80,"Low Expression",109
"228","Gene100","H3K9me2",0,"control1_leaves",100,"Low Expression",109
"229","Downstream","H3K9me2",0,"control1_leaves",120,"Low Expression",109
"230","DownstreamIntergenic","H3K9me2",0,"control1_leaves",140,"Low Expression",109
"231","UpstreamIntergenic","H3K27me3",0.0534319304374712,"control1_leaves",-60,"Low Expression",109
"232","Promotor1000","H3K27me3",0.050302752293578,"control1_leaves",-40,"Low Expression",109
"233","Promotor500","H3K27me3",0.0659082568807339,"control1_leaves",-20,"Low Expression",109
"234","Gene20","H3K27me3",0.0867517592746564,"control1_leaves",20,"Low Expression",109
"235","Gene40","H3K27me3",0.0854875264482781,"control1_leaves",40,"Low Expression",109
"236","Gene60","H3K27me3",0.0875273360120708,"control1_leaves",60,"Low Expression",109
"237","Gene80","H3K27me3",0.0761348743000119,"control1_leaves",80,"Low Expression",109
"238","Gene100","H3K27me3",0.0612017014294822,"control1_leaves",100,"Low Expression",109
"239","Downstream","H3K27me3",0.048348623853211,"control1_leaves",120,"Low Expression",109
"240","DownstreamIntergenic","H3K27me3",0.0376958118701889,"control1_leaves",140,"Low Expression",109
"241","UpstreamIntergenic","H2A-Z",0.0389704745019418,"control1_leaves",-60,"Low Expression",109
"242","Promotor1000","H2A-Z",0.120321100917431,"control1_leaves",-40,"Low Expression",109
"243","Promotor500","H2A-Z",0.229614678899083,"control1_leaves",-20,"Low Expression",109
"244","Gene20","H2A-Z",0.622088668624204,"control1_leaves",20,"Low Expression",109
"245","Gene40","H2A-Z",0.475173256650042,"control1_leaves",40,"Low Expression",109
"246","Gene60","H2A-Z",0.369577750529056,"control1_leaves",60,"Low Expression",109
"247","Gene80","H2A-Z",0.28618814261167,"control1_leaves",80,"Low Expression",109
"248","Gene100","H2A-Z",0.206933214531283,"control1_leaves",100,"Low Expression",109
"249","Downstream","H2A-Z",0.139954128440367,"control1_leaves",120,"Low Expression",109
"250","DownstreamIntergenic","H2A-Z",0.0494330488422057,"control1_leaves",140,"Low Expression",109
"251","UpstreamIntergenic","H2AK121ub",0,"control1_leaves",-60,"Low Expression",109
"252","Promotor1000","H2AK121ub",0,"control1_leaves",-40,"Low Expression",109
"253","Promotor500","H2AK121ub",0,"control1_leaves",-20,"Low Expression",109
"254","Gene20","H2AK121ub",0,"control1_leaves",20,"Low Expression",109
