"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"233","Promotor1000","H3K9me2",0,-40,"Low Expression","control1_leaves"
"234","Promotor1000","H3K27me3",12.8440366972477,-40,"Low Expression","control1_leaves"
"235","Promotor1000","H2A-Z",34.8623853211009,-40,"Low Expression","control1_leaves"
"236","Promotor1000","H2AK121ub",0,-40,"Low Expression","control1_leaves"
"237","Promotor1000","H3ac",0,-40,"Low Expression","control1_leaves"
"238","Promotor1000","H3K4me3",23.8532110091743,-40,"Low Expression","control1_leaves"
"239","Promotor1000","H3K36me3",15.5963302752294,-40,"Low Expression","control1_leaves"
"240","Promotor1000","H3K27ac",0,-40,"Low Expression","control1_leaves"
"241","Promotor1000","H4K5ac",0,-40,"Low Expression","control1_leaves"
"242","Promotor1000","H4K8ac",0,-40,"Low Expression","control1_leaves"
"243","Promotor1000","H3-1",0,-40,"Low Expression","control1_leaves"
"244","Promotor1000","H3K9ac",17.4311926605505,-40,"Low Expression","control1_leaves"
"245","Promotor1000","H4K12ac",0,-40,"Low Expression","control1_leaves"
"246","Promotor1000","H3K27me1",24.7706422018349,-40,"Low Expression","control1_leaves"
"247","Promotor1000","H4K16ac",0,-40,"Low Expression","control1_leaves"
"248","Promotor1000","H3K14ac",0,-40,"Low Expression","control1_leaves"
"249","Promotor1000","H2A",16.5137614678899,-40,"Low Expression","control1_leaves"
"250","Promotor1000","H3",1.8348623853211,-40,"Low Expression","control1_leaves"
"251","Promotor1000","H2A-X",3.6697247706422,-40,"Low Expression","control1_leaves"
"252","Promotor1000","H3K18ac",0,-40,"Low Expression","control1_leaves"
"253","Promotor500","H3-3",0,-20,"Low Expression","control1_leaves"
"254","Promotor500","H3K9me2",0,-20,"Low Expression","control1_leaves"
"255","Promotor500","H3K27me3",12.8440366972477,-20,"Low Expression","control1_leaves"
"256","Promotor500","H2A-Z",39.4495412844037,-20,"Low Expression","control1_leaves"
"257","Promotor500","H2AK121ub",0,-20,"Low Expression","control1_leaves"
"258","Promotor500","H3ac",0,-20,"Low Expression","control1_leaves"
"259","Promotor500","H3K4me3",40.3669724770642,-20,"Low Expression","control1_leaves"
"260","Promotor500","H3K36me3",17.4311926605505,-20,"Low Expression","control1_leaves"
"261","Promotor500","H3K27ac",0,-20,"Low Expression","control1_leaves"
"262","Promotor500","H4K5ac",0,-20,"Low Expression","control1_leaves"
"263","Promotor500","H4K8ac",0,-20,"Low Expression","control1_leaves"
"264","Promotor500","H3-1",0,-20,"Low Expression","control1_leaves"
"265","Promotor500","H3K9ac",39.4495412844037,-20,"Low Expression","control1_leaves"
"266","Promotor500","H4K12ac",0,-20,"Low Expression","control1_leaves"
"267","Promotor500","H3K27me1",7.3394495412844,-20,"Low Expression","control1_leaves"
"268","Promotor500","H4K16ac",0,-20,"Low Expression","control1_leaves"
"269","Promotor500","H3K14ac",0,-20,"Low Expression","control1_leaves"
"270","Promotor500","H2A",6.42201834862385,-20,"Low Expression","control1_leaves"
"271","Promotor500","H3",0,-20,"Low Expression","control1_leaves"
"272","Promotor500","H2A-X",1.8348623853211,-20,"Low Expression","control1_leaves"
"273","Promotor500","H3K18ac",0,-20,"Low Expression","control1_leaves"
"274","Gene20","H3-3",0,20,"Low Expression","control1_leaves"
"275","Gene20","H3K9me2",0,20,"Low Expression","control1_leaves"
"276","Gene20","H3K27me3",11.0091743119266,20,"Low Expression","control1_leaves"
"277","Gene20","H2A-Z",84.4036697247707,20,"Low Expression","control1_leaves"
"278","Gene20","H2AK121ub",0,20,"Low Expression","control1_leaves"
"279","Gene20","H3ac",0,20,"Low Expression","control1_leaves"
"280","Gene20","H3K4me3",81.651376146789,20,"Low Expression","control1_leaves"
"281","Gene20","H3K36me3",67.8899082568807,20,"Low Expression","control1_leaves"
"282","Gene20","H3K27ac",0,20,"Low Expression","control1_leaves"
"283","Gene20","H4K5ac",0,20,"Low Expression","control1_leaves"
"284","Gene20","H4K8ac",0,20,"Low Expression","control1_leaves"
"285","Gene20","H3-1",0,20,"Low Expression","control1_leaves"
"286","Gene20","H3K9ac",75.2293577981651,20,"Low Expression","control1_leaves"
"287","Gene20","H4K12ac",0,20,"Low Expression","control1_leaves"
"288","Gene20","H3K27me1",28.4403669724771,20,"Low Expression","control1_leaves"
"289","Gene20","H4K16ac",0,20,"Low Expression","control1_leaves"
"290","Gene20","H3K14ac",0,20,"Low Expression","control1_leaves"
"291","Gene20","H2A",15.5963302752294,20,"Low Expression","control1_leaves"
"292","Gene20","H3",0,20,"Low Expression","control1_leaves"
"293","Gene20","H2A-X",4.58715596330275,20,"Low Expression","control1_leaves"
"294","Gene20","H3K18ac",0,20,"Low Expression","control1_leaves"
"295","Gene40","H3-3",0,40,"Low Expression","control1_leaves"
"296","Gene40","H3K9me2",0,40,"Low Expression","control1_leaves"
"297","Gene40","H3K27me3",9.1743119266055,40,"Low Expression","control1_leaves"
"298","Gene40","H2A-Z",60.5504587155963,40,"Low Expression","control1_leaves"
"299","Gene40","H2AK121ub",0,40,"Low Expression","control1_leaves"
"300","Gene40","H3ac",0,40,"Low Expression","control1_leaves"
"301","Gene40","H3K4me3",59.6330275229358,40,"Low Expression","control1_leaves"
"302","Gene40","H3K36me3",68.8073394495413,40,"Low Expression","control1_leaves"
"303","Gene40","H3K27ac",0,40,"Low Expression","control1_leaves"
"304","Gene40","H4K5ac",0,40,"Low Expression","control1_leaves"
"305","Gene40","H4K8ac",0,40,"Low Expression","control1_leaves"
"306","Gene40","H3-1",0,40,"Low Expression","control1_leaves"
"307","Gene40","H3K9ac",51.3761467889908,40,"Low Expression","control1_leaves"
"308","Gene40","H4K12ac",0,40,"Low Expression","control1_leaves"
"309","Gene40","H3K27me1",46.7889908256881,40,"Low Expression","control1_leaves"
"310","Gene40","H4K16ac",0,40,"Low Expression","control1_leaves"
"311","Gene40","H3K14ac",0,40,"Low Expression","control1_leaves"
"312","Gene40","H2A",44.0366972477064,40,"Low Expression","control1_leaves"
"313","Gene40","H3",0.917431192660551,40,"Low Expression","control1_leaves"
