"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"231","UpstreamIntergenic","H3K18ac",0.826446280991736,-60,"Low Expression","control1_seedlings"
"232","Promotor1000","H3-3",45.4545454545455,-40,"Low Expression","control1_seedlings"
"233","Promotor1000","H3K9me2",3.30578512396694,-40,"Low Expression","control1_seedlings"
"234","Promotor1000","H3K27me3",27.2727272727273,-40,"Low Expression","control1_seedlings"
"235","Promotor1000","H2A-Z",76.8595041322314,-40,"Low Expression","control1_seedlings"
"236","Promotor1000","H2AK121ub",44.6280991735537,-40,"Low Expression","control1_seedlings"
"237","Promotor1000","H3ac",0,-40,"Low Expression","control1_seedlings"
"238","Promotor1000","H3K4me3",68.5950413223141,-40,"Low Expression","control1_seedlings"
"239","Promotor1000","H3K36me3",39.6694214876033,-40,"Low Expression","control1_seedlings"
"240","Promotor1000","H3K27ac",25.6198347107438,-40,"Low Expression","control1_seedlings"
"241","Promotor1000","H4K5ac",59.504132231405,-40,"Low Expression","control1_seedlings"
"242","Promotor1000","H4K8ac",44.6280991735537,-40,"Low Expression","control1_seedlings"
"243","Promotor1000","H3-1",28.9256198347107,-40,"Low Expression","control1_seedlings"
"244","Promotor1000","H3K9ac",67.7685950413223,-40,"Low Expression","control1_seedlings"
"245","Promotor1000","H4K12ac",40.495867768595,-40,"Low Expression","control1_seedlings"
"246","Promotor1000","H3K27me1",0,-40,"Low Expression","control1_seedlings"
"247","Promotor1000","H4K16ac",28.099173553719,-40,"Low Expression","control1_seedlings"
"248","Promotor1000","H3K14ac",37.1900826446281,-40,"Low Expression","control1_seedlings"
"249","Promotor1000","H2A",0,-40,"Low Expression","control1_seedlings"
"250","Promotor1000","H3",13.2231404958678,-40,"Low Expression","control1_seedlings"
"251","Promotor1000","H2A-X",0,-40,"Low Expression","control1_seedlings"
"252","Promotor1000","H3K18ac",13.2231404958678,-40,"Low Expression","control1_seedlings"
"253","Promotor500","H3-3",23.9669421487603,-20,"Low Expression","control1_seedlings"
"254","Promotor500","H3K9me2",3.30578512396694,-20,"Low Expression","control1_seedlings"
"255","Promotor500","H3K27me3",19.8347107438017,-20,"Low Expression","control1_seedlings"
"256","Promotor500","H2A-Z",67.7685950413223,-20,"Low Expression","control1_seedlings"
"257","Promotor500","H2AK121ub",35.5371900826446,-20,"Low Expression","control1_seedlings"
"258","Promotor500","H3ac",0,-20,"Low Expression","control1_seedlings"
"259","Promotor500","H3K4me3",61.1570247933884,-20,"Low Expression","control1_seedlings"
