"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"223","Promotor500","H3K9me2",0.0119338842975207,"control1_seedlings",-20,"Low Expression",121
"224","Gene20","H3K9me2",0,"control1_seedlings",20,"Low Expression",121
"225","Gene40","H3K9me2",0,"control1_seedlings",40,"Low Expression",121
"226","Gene60","H3K9me2",0,"control1_seedlings",60,"Low Expression",121
"227","Gene80","H3K9me2",0,"control1_seedlings",80,"Low Expression",121
"228","Gene100","H3K9me2",0,"control1_seedlings",100,"Low Expression",121
"229","Downstream","H3K9me2",0,"control1_seedlings",120,"Low Expression",121
"230","DownstreamIntergenic","H3K9me2",0.00291293988590344,"control1_seedlings",140,"Low Expression",121
"231","UpstreamIntergenic","H3K27me3",0.0767664730487153,"control1_seedlings",-60,"Low Expression",121
"232","Promotor1000","H3K27me3",0.0850247933884297,"control1_seedlings",-40,"Low Expression",121
"233","Promotor500","H3K27me3",0.128479338842975,"control1_seedlings",-20,"Low Expression",121
"234","Gene20","H3K27me3",0.176750417839695,"control1_seedlings",20,"Low Expression",121
"235","Gene40","H3K27me3",0.1581829481643,"control1_seedlings",40,"Low Expression",121
"236","Gene60","H3K27me3",0.17405842895678,"control1_seedlings",60,"Low Expression",121
"237","Gene80","H3K27me3",0.150039157571867,"control1_seedlings",80,"Low Expression",121
"238","Gene100","H3K27me3",0.123382368183192,"control1_seedlings",100,"Low Expression",121
"239","Downstream","H3K27me3",0.0772314049586777,"control1_seedlings",120,"Low Expression",121
"240","DownstreamIntergenic","H3K27me3",0.0518528367897131,"control1_seedlings",140,"Low Expression",121
"241","UpstreamIntergenic","H2A-Z",0.0865722446539683,"control1_seedlings",-60,"Low Expression",121
"242","Promotor1000","H2A-Z",0.183595041322314,"control1_seedlings",-40,"Low Expression",121
"243","Promotor500","H2A-Z",0.427090909090909,"control1_seedlings",-20,"Low Expression",121
"244","Gene20","H2A-Z",0.822992979136314,"control1_seedlings",20,"Low Expression",121
"245","Gene40","H2A-Z",0.617644919385387,"control1_seedlings",40,"Low Expression",121
"246","Gene60","H2A-Z",0.462639137644829,"control1_seedlings",60,"Low Expression",121
"247","Gene80","H2A-Z",0.418174351678036,"control1_seedlings",80,"Low Expression",121
"248","Gene100","H2A-Z",0.343659772618562,"control1_seedlings",100,"Low Expression",121
"249","Downstream","H2A-Z",0.256239669421488,"control1_seedlings",120,"Low Expression",121
"250","DownstreamIntergenic","H2A-Z",0.101160908930002,"control1_seedlings",140,"Low Expression",121
"251","UpstreamIntergenic","H2AK121ub",0.042921671226169,"control1_seedlings",-60,"Low Expression",121
"252","Promotor1000","H2AK121ub",0.113,"control1_seedlings",-40,"Low Expression",121
"253","Promotor500","H2AK121ub",0.201074380165289,"control1_seedlings",-20,"Low Expression",121
"254","Gene20","H2AK121ub",0.412428414760364,"control1_seedlings",20,"Low Expression",121
"255","Gene40","H2AK121ub",0.304951041607321,"control1_seedlings",40,"Low Expression",121
"256","Gene60","H2AK121ub",0.244865687851751,"control1_seedlings",60,"Low Expression",121
"257","Gene80","H2AK121ub",0.208532409107043,"control1_seedlings",80,"Low Expression",121
"258","Gene100","H2AK121ub",0.147607546906106,"control1_seedlings",100,"Low Expression",121
"259","Downstream","H2AK121ub",0.0858677685950413,"control1_seedlings",120,"Low Expression",121
"260","DownstreamIntergenic","H2AK121ub",0.0388791263371179,"control1_seedlings",140,"Low Expression",121
"261","UpstreamIntergenic","H3ac",0,"control1_seedlings",-60,"Low Expression",121
"262","Promotor1000","H3ac",0,"control1_seedlings",-40,"Low Expression",121
"263","Promotor500","H3ac",0,"control1_seedlings",-20,"Low Expression",121
"264","Gene20","H3ac",0,"control1_seedlings",20,"Low Expression",121
"265","Gene40","H3ac",0,"control1_seedlings",40,"Low Expression",121
"266","Gene60","H3ac",0,"control1_seedlings",60,"Low Expression",121
"267","Gene80","H3ac",0,"control1_seedlings",80,"Low Expression",121
"268","Gene100","H3ac",0,"control1_seedlings",100,"Low Expression",121
"269","Downstream","H3ac",0,"control1_seedlings",120,"Low Expression",121
"270","DownstreamIntergenic","H3ac",0,"control1_seedlings",140,"Low Expression",121
"271","UpstreamIntergenic","H3K4me3",0.0117378778950693,"control1_seedlings",-60,"Low Expression",121
"272","Promotor1000","H3K4me3",0.139123966942149,"control1_seedlings",-40,"Low Expression",121
"273","Promotor500","H3K4me3",0.278760330578512,"control1_seedlings",-20,"Low Expression",121
"274","Gene20","H3K4me3",0.841043809998168,"control1_seedlings",20,"Low Expression",121
"275","Gene40","H3K4me3",0.829459332024736,"control1_seedlings",40,"Low Expression",121
"276","Gene60","H3K4me3",0.712268938775261,"control1_seedlings",60,"Low Expression",121
"277","Gene80","H3K4me3",0.466137678364415,"control1_seedlings",80,"Low Expression",121
"278","Gene100","H3K4me3",0.175453838389816,"control1_seedlings",100,"Low Expression",121
"279","Downstream","H3K4me3",0.0920661157024793,"control1_seedlings",120,"Low Expression",121
"280","DownstreamIntergenic","H3K4me3",0.022889278126905,"control1_seedlings",140,"Low Expression",121
"281","UpstreamIntergenic","H3K36me3",0,"control1_seedlings",-60,"Low Expression",121
"282","Promotor1000","H3K36me3",0.0896776859504132,"control1_seedlings",-40,"Low Expression",121
"283","Promotor500","H3K36me3",0.155702479338843,"control1_seedlings",-20,"Low Expression",121
"284","Gene20","H3K36me3",0.702513177676309,"control1_seedlings",20,"Low Expression",121
"285","Gene40","H3K36me3",0.785688058834149,"control1_seedlings",40,"Low Expression",121
